Title,Year,Script link
Arthur,1981,https://www.scripts.com/script/arthur_3126#google_vignette
Valley Girl,1983,https://www.scripts.com/script/valley_girl_22697#google_vignette
Splash ,1984,https://www.scripts.com/script/splash_18677
The Sure Thing ,1985,https://www.scripts.com/script/the_sure_thing_19171#google_vignette
Hannah and Her Sisters ,1986,https://indiegroundfilms.wordpress.com/wp-content/uploads/2014/01/hannah-her-sisters-1986-shooting.pdf
Working Girl ,1988,https://www.scripts.com/script/working_girl_733#google_vignette
When Harry Met Sally,1989,https://assets.scriptslug.com/live/pdf/scripts/when-harry-met-sally-1989.pdf
Defending Your Life,1991,https://www.scripts.com/script/defending_your_life_6665#google_vignette
Singles ,1992,https://www.scripts.com/script/singles_18197
"Crazy, Stupid, Love",2011,"https://www.scripts.com/script/crazy,_stupid,_love_6035"
About Time ,2013,https://www.scripts.com/script/about_time_2157
What If ,2013,https://www.scripts.com/script/what_if_23275
Mama Mia! Here We Go Again,2018,https://pdfcoffee.com/mamma-mia-the-musical-script-3-pdf-free.html
Your Sister's Sister,2011,https://www.scripts.com/script/your_sister's_sister_23912
Bridesmaids,2011,https://www.scripts.com/script/bridesmaids_4679
Crazy Rich Asians,2018,https://d2bu9v0mnky9ur.cloudfront.net/academy2018/cra/screenplay/cra_wbfomat.pdf
Midnight in Paris,2011,https://www.scripts.com/script/midnight_in_paris_13736
To All the Boys I've Loved Before ,2018,https://assets.scriptslug.com/live/pdf/scripts/to-all-the-boys-ive-loved-before-2018.pdf
The Kids Are All Right ,2010,https://www.scripts.com/script/the_kids_are_all_right_11738
Four Weddings and a Funeral,1994,https://www.scripts.com/script/four_weddings_and_a_funeral_8491
Clueless ,1995,https://www.scripts.com/script/clueless_24345
Tin Cup ,1996,https://www.scripts.com/script/tin_cup_384
As Good as It Gets ,1997,https://assets.scriptslug.com/live/pdf/scripts/as-good-as-it-gets-1997.pdf?v=1729114862
10 Things I Hate About You ,1999,https://assets.scriptslug.com/live/pdf/scripts/10-things-i-hate-about-you-1999.pdf?v=1729114847
Punch-Drunk Love,2002,https://assets.scriptslug.com/live/pdf/scripts/punch-drunk-love-2002.pdf?v=1729114975
Love Actually,2003,https://assets.scriptslug.com/live/pdf/scripts/love-actually-2003.pdf?v=1729114944
The 40 Year-Old Virgin,2005,https://assets.scriptslug.com/live/pdf/scripts/40-year-old-virgin-2005.pdf
Juno,2007,https://assets.scriptslug.com/live/pdf/scripts/juno-2007.pdf?v=1729114935
"Definitely, Maybe ",2008,"https://www.scripts.com/script/definitely,_maybe_6669#google_vignette"
Knocked Up ,2007,https://www.scripts.com/script/knocked_up_11948